,Ticker,Market Cap (millions),Momentum Value 6M,Momentum Value 12M,Weighted Momentum,Final Z-score,Clipped Z-score,Weight_unnormalized,Final Weight,Adjusted Final Weight
91175,NVDA,2551758.0,1.01,1.64,1.33,5.87,3.0,7655274.0,25.08,7.0
8645,AMZN,1890988.19,0.25,0.45,0.35,1.28,1.28,2420906.24,7.93,7.0
85673,MSFT,3143270.73,0.12,0.33,0.23,0.73,0.73,2288959.88,7.5,7.0
74931,LLY,751019.85,0.4,0.99,0.7,2.92,2.92,2196703.09,7.2,7.0
80695,META,1015056.01,0.29,0.58,0.44,1.71,1.71,1736785.92,5.69,7.83
11789,AVGO,668068.95,0.36,0.79,0.57,2.35,2.35,1568294.87,5.14,7.07
55805,GOOGL,997729.11,0.3,0.37,0.34,1.24,1.24,1234859.44,4.05,5.57
55543,GOOG,959838.1,0.29,0.38,0.34,1.24,1.24,1185469.61,3.88,5.35
28819,COST,359114.67,0.22,0.52,0.37,1.39,1.39,500442.68,1.64,2.26
128641,WMT,556532.77,0.23,0.27,0.25,0.83,0.83,464093.97,1.52,2.09
69167,JPM,617954.24,0.16,0.28,0.22,0.69,0.69,429428.74,1.41,1.94
88555,NFLX,267189.3,0.2,0.54,0.37,1.38,1.38,368926.6,1.21,1.66
86983,MU,113722.76,0.53,0.84,0.69,2.88,2.88,327878.06,1.07,1.48
6811,AMAT,162895.77,0.44,0.56,0.5,1.99,1.99,323695.25,1.06,1.46
102703,QCOM,186305.04,0.34,0.51,0.42,1.65,1.65,307083.87,1.01,1.38
8907,ANET,97587.54,0.35,1.26,0.81,3.44,3.0,292762.61,0.96,1.32
93795,ORCL,373887.53,0.26,0.2,0.23,0.76,0.76,284393.19,0.93,1.28
71001,KKR,106479.33,0.22,0.77,0.49,1.97,1.97,210277.82,0.69,0.95
13623,BAC,322824.87,0.17,0.24,0.21,0.63,0.63,202982.69,0.66,0.92
71263,KLAC,102176.91,0.39,0.6,0.5,1.99,1.99,202831.22,0.66,0.91
97725,PGR,126323.42,0.17,0.65,0.41,1.57,1.57,198126.81,0.65,0.89
52923,GE,181600.41,0.2,0.39,0.3,1.05,1.05,190562.34,0.62,0.86
45063,ETN,114838.55,0.27,0.53,0.4,1.54,1.54,176698.29,0.58,0.8
75979,LRCX,111765.25,0.29,0.48,0.39,1.47,1.47,164448.33,0.54,0.74
30653,CRWD,53945.85,0.31,1.37,0.84,3.59,3.0,161837.54,0.53,0.73
12837,AXP,179490.99,0.15,0.37,0.26,0.89,0.89,160032.44,0.52,0.72
127855,WFC,209213.79,0.18,0.29,0.24,0.76,0.76,159909.42,0.52,0.72
23317,CEG,53176.97,0.64,1.07,0.86,3.67,3.0,159530.91,0.52,0.72
66285,ISRG,153758.21,0.18,0.37,0.27,0.95,0.95,145320.42,0.48,0.66
18863,BSX,108837.41,0.22,0.49,0.35,1.31,1.31,142345.09,0.47,0.64
118947,TT,74431.47,0.31,0.65,0.48,1.9,1.9,141149.85,0.46,0.64
120519,UBER,131827.85,0.11,0.47,0.29,1.03,1.03,135545.77,0.44,0.61
26461,CMG,71993.35,0.3,0.6,0.45,1.76,1.76,126851.26,0.42,0.57
7335,AMD,223762.48,-0.03,0.42,0.19,0.57,0.57,126602.78,0.41,0.57
10479,APH,74593.65,0.33,0.53,0.43,1.67,1.67,124750.53,0.41,0.56
108467,SMCI,39016.8,0.55,1.48,1.01,4.41,3.0,117050.4,0.38,0.53
56853,GS,163060.12,0.18,0.27,0.22,0.71,0.71,116534.55,0.38,0.53
116589,TMUS,205496.35,0.09,0.28,0.19,0.53,0.53,109676.61,0.36,0.49
103751,REGN,116798.34,0.11,0.42,0.27,0.91,0.91,106020.78,0.35,0.48
16767,BKNG,126244.02,0.13,0.33,0.23,0.75,0.75,94359.88,0.31,0.43
19911,C,125643.05,0.13,0.33,0.23,0.74,0.74,93432.9,0.31,0.42
89603,NOW,164552.8,0.03,0.35,0.19,0.55,0.55,89984.84,0.29,0.41
79385,MCK,79087.28,0.17,0.45,0.31,1.11,1.11,88110.14,0.29,0.4
20959,CAT,167119.13,0.11,0.26,0.18,0.52,0.52,86786.87,0.28,0.39
116065,TJX,127978.1,0.16,0.27,0.22,0.68,0.68,86532.46,0.28,0.39
124711,VRTX,129697.63,0.08,0.33,0.21,0.63,0.63,81451.93,0.27,0.37
113445,T,136091.23,0.08,0.32,0.2,0.59,0.59,80546.29,0.26,0.36
49779,FICO,39253.33,0.24,0.78,0.51,2.05,2.05,80311.47,0.26,0.36
7859,AMGN,178782.96,-0.01,0.33,0.16,0.43,0.43,77493.1,0.25,0.35
64451,INTU,177735.98,0.04,0.28,0.16,0.43,0.43,75674.98,0.25,0.34
31701,CTAS,77206.13,0.16,0.39,0.28,0.96,0.96,73987.24,0.24,0.33
113969,TDG,70740.47,0.17,0.42,0.29,1.04,1.04,73770.06,0.24,0.33
124973,VST,23974.74,1.1,2.06,1.58,7.05,3.0,71924.22,0.24,0.32
62355,HWM,38291.69,0.38,0.52,0.45,1.76,1.76,67560.72,0.22,0.3
117113,TRGP,29741.05,0.52,0.57,0.54,2.21,2.21,65591.2,0.21,0.3
85935,MSI,65935.94,0.21,0.35,0.28,0.96,0.96,63502.31,0.21,0.29
84101,MPWR,38054.2,0.36,0.47,0.42,1.61,1.61,61275.75,0.2,0.28
56591,GRMN,34447.22,0.36,0.54,0.45,1.77,1.77,61116.4,0.2,0.28
128117,WM,80704.41,0.15,0.3,0.23,0.72,0.72,58221.64,0.19,0.26
90389,NTAP,25196.06,0.48,0.65,0.56,2.3,2.3,58023.39,0.19,0.26
40609,ECL,65355.5,0.2,0.3,0.25,0.83,0.83,54551.39,0.18,0.25
108991,SNPS,80574.81,0.12,0.32,0.22,0.68,0.68,54547.1,0.18,0.25
25413,CL,82109.09,0.15,0.27,0.21,0.66,0.66,54086.89,0.18,0.24
103227,RCL,40399.55,0.25,0.46,0.36,1.33,1.33,53688.88,0.18,0.24
127593,WELL,67110.11,0.21,0.27,0.24,0.77,0.77,51911.63,0.17,0.23
94843,PANW,102796.79,0.0,0.36,0.18,0.5,0.5,51549.93,0.17,0.23
59473,HLT,54700.07,0.14,0.4,0.27,0.94,0.94,51504.55,0.17,0.23
92223,NXPI,64111.18,0.28,0.21,0.24,0.8,0.8,51183.77,0.17,0.23
35107,DECK,23154.88,0.28,0.78,0.53,2.15,2.15,49880.05,0.16,0.22
2619,ADI,111440.38,0.19,0.14,0.17,0.44,0.44,48818.54,0.16,0.22
52399,GD,80512.58,0.09,0.3,0.2,0.58,0.58,46940.77,0.15,0.21
52661,GDDY,20267.3,0.31,0.81,0.56,2.29,2.29,46389.95,0.15,0.21
127069,WDC,20629.83,0.32,0.78,0.55,2.25,2.25,46334.25,0.15,0.21
89865,NRG,15287.52,0.47,1.05,0.76,3.21,3.0,45862.56,0.15,0.21
66023,IRM,29691.47,0.33,0.46,0.39,1.51,1.51,44686.38,0.15,0.2
47683,FANG,35326.33,0.3,0.36,0.33,1.21,1.21,42766.72,0.14,0.19
42705,EMR,66191.97,0.2,0.21,0.2,0.62,0.62,40791.9,0.13,0.18
106109,RSG,60414.18,0.14,0.29,0.21,0.65,0.65,39343.17,0.13,0.18
128379,WMB,52345.48,0.23,0.23,0.23,0.74,0.74,38751.03,0.13,0.17
22531,CDNS,69306.58,0.07,0.32,0.19,0.56,0.56,38685.84,0.13,0.17
102179,PWR,36831.34,0.31,0.26,0.28,1.0,1.0,36720.2,0.12,0.17
48731,FDX,73505.66,0.24,0.11,0.18,0.49,0.49,36112.53,0.12,0.16
65761,IR,39887.31,0.14,0.39,0.26,0.9,0.9,35999.07,0.12,0.16
73359,LDOS,19738.18,0.32,0.56,0.44,1.72,1.72,34014.06,0.11,0.15
111349,STX,20809.86,0.21,0.63,0.42,1.61,1.61,33493.36,0.11,0.15
12575,AXON,22996.37,0.18,0.58,0.38,1.45,1.45,33374.08,0.11,0.15
1833,ACGL,36873.53,0.22,0.3,0.26,0.89,0.89,32703.33,0.11,0.15
6287,ALL,45813.06,0.03,0.42,0.22,0.71,0.71,32358.55,0.11,0.15
122353,URI,48747.43,0.03,0.39,0.21,0.66,0.66,32213.28,0.11,0.15
58949,HIG,32753.15,0.16,0.4,0.28,0.96,0.96,31523.69,0.1,0.14
50041,FIS,42686.74,0.21,0.25,0.23,0.74,0.74,31464.38,0.1,0.14
115017,TER,18942.62,0.54,0.31,0.42,1.65,1.65,31225.6,0.1,0.14
55019,GM,49711.07,0.2,0.21,0.2,0.62,0.62,30802.36,0.1,0.14
83839,MPC,62817.0,0.05,0.3,0.18,0.49,0.49,30622.05,0.1,0.14
93009,OKE,48320.13,0.19,0.22,0.21,0.63,0.63,30284.56,0.1,0.14
16505,BK,48787.51,0.08,0.32,0.2,0.6,0.6,29310.53,0.1,0.13
35369,DFS,36266.69,0.24,0.24,0.24,0.78,0.78,28469.29,0.09,0.13
96415,PEG,38850.28,0.27,0.17,0.22,0.69,0.69,26821.74,0.09,0.12
60259,HPE,24706.79,0.38,0.22,0.3,1.07,1.07,26537.82,0.09,0.12
126021,WAB,27920.7,0.2,0.33,0.27,0.92,0.92,25619.72,0.08,0.12
51613,FSLR,22573.97,0.54,0.09,0.31,1.13,1.13,25594.31,0.08,0.12
123401,VLO,52375.8,0.13,0.22,0.17,0.47,0.47,24659.53,0.08,0.11
29605,CPRT,49770.03,0.13,0.23,0.18,0.49,0.49,24392.54,0.08,0.11
40347,EBAY,27810.8,0.31,0.21,0.26,0.87,0.87,24168.73,0.08,0.11
112659,SYF,20152.61,0.21,0.37,0.29,1.02,1.02,20593.28,0.07,0.09
130737,XYL,32361.86,0.21,0.2,0.2,0.62,0.62,20120.84,0.07,0.09
101131,PRU,45219.64,0.12,0.21,0.17,0.44,0.44,19888.84,0.07,0.09
8121,AMP,42895.45,0.1,0.23,0.17,0.44,0.44,18760.04,0.06,0.08
18601,BRO,28480.46,0.15,0.27,0.21,0.65,0.65,18556.14,0.06,0.08
119995,TYL,24392.68,0.19,0.27,0.23,0.73,0.73,17890.54,0.06,0.08
37727,DOV,25362.31,0.2,0.24,0.22,0.7,0.7,17655.34,0.06,0.08
118161,TSCO,28218.29,0.2,0.21,0.2,0.62,0.62,17437.57,0.06,0.08
54757,GLW,34042.05,0.2,0.14,0.17,0.46,0.46,15692.99,0.05,0.07
34583,DD,33619.77,0.3,0.04,0.17,0.46,0.46,15407.84,0.05,0.07
39299,DVA,11968.42,0.28,0.36,0.32,1.16,1.16,13896.13,0.05,0.06
98249,PHM,27638.05,0.05,0.3,0.18,0.5,0.5,13853.75,0.05,0.06
38251,DPZ,15008.73,0.21,0.3,0.26,0.86,0.86,12970.14,0.04,0.06
111873,SW,24273.19,0.23,0.14,0.18,0.52,0.52,12667.7,0.04,0.06
121043,UHS,12836.66,0.16,0.33,0.25,0.82,0.82,10566.0,0.03,0.05
64975,IP,15951.22,0.2,0.2,0.2,0.6,0.6,9609.69,0.03,0.04
91961,NWSA,10283.1,0.12,0.39,0.25,0.86,0.86,8816.24,0.03,0.04
53447,GEN,16135.78,0.06,0.28,0.17,0.48,0.48,7732.07,0.03,0.03
84887,MRO,15589.94,0.25,0.09,0.17,0.47,0.47,7392.52,0.02,0.03
104537,RL,7059.16,0.22,0.33,0.28,0.95,0.95,6737.75,0.02,0.03
91699,NWS,4598.22,0.11,0.41,0.26,0.89,0.89,4072.28,0.01,0.02
